"filename", "language", "Vue.js", "JavaScript", "CSS", "XML", "TypeScript", "JSON", "SCSS", "comment", "blank", "total"
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\center.vue", "Vue.js", 106, 0, 0, 0, 0, 0, 0, 5, 4, 115
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\centerLeft1.vue", "Vue.js", 167, 0, 0, 0, 0, 0, 0, 5, 5, 177
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\centerLeft2.vue", "Vue.js", 57, 0, 0, 0, 0, 0, 0, 0, 2, 59
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\centerRight1.vue", "Vue.js", 93, 0, 0, 0, 0, 0, 0, 1, 5, 99
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\centerRight2.vue", "Vue.js", 77, 0, 0, 0, 0, 0, 0, 0, 4, 81
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\mainFlowCharts.vue", "Vue.js", 30, 0, 0, 0, 0, 0, 0, 3, 2, 35
"d:\20232024\task\pages\Lineage_front\src\views\general.vue", "Vue.js", 261, 0, 0, 0, 0, 0, 0, 2, 5, 268
"d:\20232024\task\pages\Lineage_front\src\views\index.vue", "Vue.js", 446, 0, 0, 0, 0, 0, 0, 28, 16, 490
"d:\20232024\task\pages\Lineage_front\src\views\mainJobs.vue", "Vue.js", 410, 0, 0, 0, 0, 0, 0, 0, 6, 416
"d:\20232024\task\pages\Lineage_front\src\views\map.vue", "Vue.js", 25, 0, 0, 0, 0, 0, 0, 1, 0, 26
"d:\20232024\task\pages\Lineage_front\src\views\readerlast.vue", "Vue.js", 36, 0, 0, 0, 0, 0, 0, 0, 2, 38
"Total", "-", 7757, 3884, 844, 24, 12, 2665, 337, 561, 483, 16567
